UTF8±àÂë±í´óÈ«
Code  code# Code      (coded in UTF-8)

BCD1  4F73  E4 BD B3  ¼Ñ
D9A6  4F74  E4 BD B4  Ù¦
D9A5  4F76  E4 BD B6  Ù¥
D9AC  4F7B  E4 BD BB  Ù¬
D9AE  4F7C  E4 BD BC  Ù®
D9AB  4F7E  E4 BD BE  Ù«
CAB9  4F7F  E4 BD BF  Ê¹
D9A9  4F83  E4 BE 83  Ù©
D6B6  4F84  E4 BE 84  Ö¶
B3DE  4F88  E4 BE 88  ³Þ
D9A8  4F89  E4 BE 89  Ù¨
C0FD  4F8B  E4 BE 8B  Àý
CACC  4F8D  E4 BE 8D  ÊÌ
D9AA  4F8F  E4 BE 8F  Ùª
D9A7  4F91  E4 BE 91  Ù§
D9B0  4F94  E4 BE 94  Ù°
B6B1  4F97  E4 BE 97  ¶±
B9A9  4F9B  E4 BE 9B  ¹©
D2C0  4F9D  E4 BE 9D  ÒÀ
CFC0  4FA0  E4 BE A0  ÏÀ
C2C2  4FA3  E4 BE A3  ÂÂ
BDC4  4FA5  E4 BE A5  ½Ä
D5EC  4FA6  E4 BE A6  Õì
B2E0  4FA7  E4 BE A7  ²à
C7C8  4FA8  E4 BE A8  ÇÈ
BFEB  4FA9  E4 BE A9  ¿ë
D9AD  4FAA  E4 BE AA  Ù­
D9AF  4FAC  E4 BE AC  Ù¯
CEEA  4FAE  E4 BE AE  Îê
BAEE  4FAF  E4 BE AF  ºî
C7D6  4FB5  E4 BE B5  ÇÖ
B1E3  4FBF  E4 BE BF  ±ã
B4D9  4FC3  E4 BF 83  ´Ù
B6ED  4FC4  E4 BF 84  ¶í
D9B4  4FC5  E4 BF 85  Ù´
BFA1  4FCA  E4 BF 8A  ¿¡
D9DE  4FCE  E4 BF 8E  ÙÞ
C7CE  4FCF  E4 BF 8F  ÇÎ
C0FE  4FD0  E4 BF 90  Àþ
D9B8  4FD1  E4 BF 91  Ù¸
CBD7  4FD7  E4 BF 97  Ë×
B7FD  4FD8  E4 BF 98  ·ý
D9B5  4FDA  E4 BF 9A  Ùµ
D9B7  4FDC  E4 BF 9C  Ù·
B1A3  4FDD  E4 BF 9D  ±£
D3E1  4FDE  E4 BF 9E  Óá
D9B9  4FDF  E4 BF 9F  Ù¹
D0C5  4FE1  E4 BF A1  ÐÅ
D9B6  4FE3  E4 BF A3  Ù¶
D9B1  4FE6  E4 BF A6  Ù±
D9B2  4FE8  E4 BF A8  Ù²
C1A9  4FE9  E4 BF A9  Á©
D9B3  4FEA  E4 BF AA  Ù³
BCF3  4FED  E4 BF AD  ¼ó
D0DE  4FEE  E4 BF AE  ÐÞ
B8A9  4FEF  E4 BF AF  ¸©
BEE3  4FF1  E4 BF B1  ¾ã
D9BD  4FF3  E4 BF B3  Ù½
D9BA  4FF8  E4 BF B8  Ùº
B0B3  4FFA  E4 BF BA  °³
D9C2  4FFE  E4 BF BE  ÙÂ
D9C4  500C  E5 80 8C  ÙÄ
B1B6  500D  E5 80 8D  ±¶
D9BF  500F  E5 80 8F  Ù¿
B5B9  5012  E5 80 92  µ¹
BEF3  5014  E5 80 94  ¾ó
CCC8  5018  E5 80 98  ÌÈ
BAF2  5019  E5 80 99  ºò
D2D0  501A  E5 80 9A  ÒÐ
D9C3  501C  E5 80 9C  ÙÃ
BDE8  501F  E5 80 9F  ½è
B3AB  5021  E5 80 A1  ³«
D9C5  5025  E5 80 A5  ÙÅ
BEEB  5026  E5 80 A6  ¾ë
D9C6  5028  E5 80 A8  ÙÆ
D9BB  5029  E5 80 A9  Ù»
C4DF  502A  E5 80 AA  Äß
D9BE  502C  E5 80 AC  Ù¾
D9C1  502D  E5 80 AD  ÙÁ
D9C0  502E  E5 80 AE  ÙÀ
D5AE  503A  E5 80 BA  Õ®
D6B5  503C  E5 80 BC  Öµ
C7E3  503E  E5 80 BE  Çã
D9C8  5043  E5 81 83  ÙÈ
BCD9  5047  E5 81 87  ¼Ù
D9CA  5048  E5 81 88  ÙÊ
D9BC  504C  E5 81 8C  Ù¼
D9CB  504E  E5 81 8E  ÙË
C6AB  504F  E5 81 8F  Æ«
D9C9  5055  E5 81 95  ÙÉ
D7F6  505A  E5 81 9A  ×ö
CDA3  505C  E5 81 9C  Í£
BDA1  5065  E5 81 A5  ½¡
D9CC  506C  E5 81 AC  ÙÌ
C5BC  5076  E5 81 B6  Å¼
CDB5  5077  E5 81 B7  Íµ
D9CD  507B  E5 81 BB  ÙÍ
D9C7  507E  E5 81 BE  ÙÇ
B3A5  507F  E5 81 BF  ³¥
BFFE  5080  E5 82 80  ¿þ
B8B5  5085  E5 82 85  ¸µ
C0FC  5088  E5 82 88  Àü
B0F8  508D  E5 82 8D  °ø
B4F6  50A3  E5 82 A3  ´ö
D9CE  50A5  E5 82 A5  ÙÎ
D9CF  50A7  E5 82 A7  ÙÏ
B4A2  50A8  E5 82 A8  ´¢
D9D0  50A9  E5 82 A9  ÙÐ
B4DF  50AC  E5 82 AC  ´ß
B0C1  50B2  E5 82 B2  °Á
D9D1  50BA  E5 82 BA  ÙÑ
C9B5  50BB  E5 82 BB  Éµ
